CID,BDATE,GEN,dwh_create_date
AW00011000,1971-10-06,Male,2026-07-14 10:09:33.9700000
AW00011001,1976-05-10,Male,2026-07-14 10:09:33.9700000
AW00011002,1971-02-09,Male,2026-07-14 10:09:33.9700000
AW00011003,1973-08-14,Female,2026-07-14 10:09:33.9700000
AW00011004,1979-08-05,Female,2026-07-14 10:09:33.9700000
AW00011005,1976-08-01,Male,2026-07-14 10:09:33.9700000
AW00011006,1976-12-02,Female,2026-07-14 10:09:33.9700000
AW00011007,1969-11-06,Male,2026-07-14 10:09:33.9700000
AW00011008,1975-07-04,Female,2026-07-14 10:09:33.9700000
AW00011009,1969-09-29,Male,2026-07-14 10:09:33.9700000
AW00011010,1969-08-05,Female,2026-07-14 10:09:33.9700000
AW00011011,1969-05-03,Male,2026-07-14 10:09:33.9700000
AW00011012,1979-01-14,Female,2026-07-14 10:09:33.9700000
AW00011013,1979-08-03,Male,2026-07-14 10:09:33.9700000
AW00011014,1973-11-06,Female,2026-07-14 10:09:33.9700000
AW00011015,1984-08-26,Female,2026-07-14 10:09:33.9700000
AW00011016,1984-10-25,Male,2026-07-14 10:09:33.9700000
AW00011017,1949-12-24,Female,2026-07-14 10:09:33.9700000
AW00011018,1955-10-06,Male,2026-07-14 10:09:33.9700000
AW00011019,1983-09-04,Male,2026-07-14 10:09:33.9700000
AW00011020,1984-03-19,Male,2026-07-14 10:09:33.9700000
AW00011021,1984-03-02,Female,2026-07-14 10:09:33.9700000
AW00011022,1984-04-10,Female,2026-07-14 10:09:33.9700000
AW00011023,1984-04-09,Female,2026-07-14 10:09:33.9700000
AW00011024,1984-03-16,Female,2026-07-14 10:09:33.9700000
AW00011025,1951-06-22,Female,2026-07-14 10:09:33.9700000
AW00011026,1951-10-01,Female,2026-07-14 10:09:33.9700000
AW00011027,1952-06-05,Female,2026-07-14 10:09:33.9700000
AW00011028,1951-10-09,Female,2026-07-14 10:09:33.9700000
AW00011029,1952-06-19,Female,2026-07-14 10:09:33.9700000
AW00011030,1958-02-18,Female,2026-07-14 10:09:33.9700000
AW00011031,1953-02-18,Female,2026-07-14 10:09:33.9700000
AW00011032,1952-12-08,Female,2026-07-14 10:09:33.9700000
AW00011033,1958-09-19,Female,2026-07-14 10:09:33.9700000
AW00011034,1952-12-16,Female,2026-07-14 10:09:33.9700000
AW00011035,1953-08-23,Female,2026-07-14 10:09:33.9700000
AW00011036,1984-06-16,Female,2026-07-14 10:09:33.9700000
AW00011037,1983-05-27,Female,2026-07-14 10:09:33.9700000
AW00011038,1953-09-20,Female,2026-07-14 10:09:33.9700000
AW00011039,1954-06-16,n/a,2026-07-14 10:09:33.9700000
AW00011040,1983-01-29,n/a,2026-07-14 10:09:33.9700000
AW00011041,1983-04-15,n/a,2026-07-14 10:09:33.9700000
AW00011042,1982-12-11,Female,2026-07-14 10:09:33.9700000
AW00011043,1981-08-23,Female,2026-07-14 10:09:33.9700000
AW00011044,1954-11-21,Female,2026-07-14 10:09:33.9700000
AW00011045,1955-11-16,Female,2026-07-14 10:09:33.9700000
AW00011046,1955-09-19,Female,2026-07-14 10:09:33.9700000
AW00011047,1955-08-27,Female,2026-07-14 10:09:33.9700000
AW00011048,1956-05-21,Female,2026-07-14 10:09:33.9700000
AW00011049,1986-01-15,Female,2026-07-14 10:09:33.9700000
AW00011050,1957-03-06,Female,2026-07-14 10:09:33.9700000
AW00011051,1957-01-31,Female,2026-07-14 10:09:33.9700000
AW00011052,1957-02-03,Female,2026-07-14 10:09:33.9700000
AW00011053,1986-02-17,Female,2026-07-14 10:09:33.9700000
AW00011054,1957-09-07,Female,2026-07-14 10:09:33.9700000
AW00011055,1957-09-02,Male,2026-07-14 10:09:33.9700000
AW00011056,1958-10-01,Female,2026-07-14 10:09:33.9700000
AW00011057,1970-04-07,Female,2026-07-14 10:09:33.9700000
AW00011058,1965-04-23,Female,2026-07-14 10:09:33.9700000
AW00011059,1959-09-29,Female,2026-07-14 10:09:33.9700000
AW00011060,1959-09-14,Female,2026-07-14 10:09:33.9700000
AW00011061,1976-02-20,Male,2026-07-14 10:09:33.9700000
AW00011062,1981-03-01,Male,2026-07-14 10:09:33.9700000
AW00011063,1980-10-04,Female,2026-07-14 10:09:33.9700000
AW00011064,1981-06-05,Male,2026-07-14 10:09:33.9700000
AW00011065,1979-04-08,Female,2026-07-14 10:09:33.9700000
AW00011066,1979-05-27,Female,2026-07-14 10:09:33.9700000
AW00011067,1982-03-25,Male,2026-07-14 10:09:33.9700000
AW00011068,1966-09-19,Female,2026-07-14 10:09:33.9700000
AW00011069,1966-09-17,Female,2026-07-14 10:09:33.9700000
AW00011070,1960-10-02,Male,2026-07-14 10:09:33.9700000
AW00011071,1960-12-23,Female,2026-07-14 10:09:33.9700000
AW00011072,1960-08-05,Female,2026-07-14 10:09:33.9700000
AW00011073,1962-02-11,Female,2026-07-14 10:09:33.9700000
AW00011074,1962-02-25,Male,2026-07-14 10:09:33.9700000
AW00011075,1963-05-16,Female,2026-07-14 10:09:33.9700000
AW00011076,1963-01-10,Male,2026-07-14 10:09:33.9700000
AW00011077,1963-03-19,Female,2026-07-14 10:09:33.9700000
AW00011078,1985-01-06,Female,2026-07-14 10:09:33.9700000
AW00011079,1970-03-07,Male,2026-07-14 10:09:33.9700000
AW00011080,1965-01-13,Male,2026-07-14 10:09:33.9700000
AW00011081,1972-01-21,Female,2026-07-14 10:09:33.9700000
AW00011082,1972-02-01,Female,2026-07-14 10:09:33.9700000
AW00011083,1977-03-11,Female,2026-07-14 10:09:33.9700000
AW00011084,1963-03-12,Male,2026-07-14 10:09:33.9700000
AW00011085,1963-01-16,Female,2026-07-14 10:09:33.9700000
AW00011086,1963-06-22,Male,2026-07-14 10:09:33.9700000
AW00011087,1963-04-02,Female,2026-07-14 10:09:33.9700000
AW00011088,1963-05-25,Male,2026-07-14 10:09:33.9700000
AW00011089,1962-08-05,Female,2026-07-14 10:09:33.9700000
AW00011090,1968-12-13,Male,2026-07-14 10:09:33.9700000
AW00011091,1962-10-02,Male,2026-07-14 10:09:33.9700000
AW00011092,1972-11-02,Female,2026-07-14 10:09:33.9700000
AW00011093,1978-09-06,Female,2026-07-14 10:09:33.9700000
AW00011094,1967-09-29,Male,2026-07-14 10:09:33.9700000
AW00011095,1968-02-29,Male,2026-07-14 10:09:33.9700000
AW00011096,1968-02-07,Male,2026-07-14 10:09:33.9700000
AW00011097,1972-10-23,Male,2026-07-14 10:09:33.9700000
AW00011098,1966-10-29,Female,2026-07-14 10:09:33.9700000
AW00011099,1966-09-05,Male,2026-07-14 10:09:33.9700000
AW00011100,1966-03-15,Female,2026-07-14 10:09:33.9700000
AW00011101,1970-11-05,Female,2026-07-14 10:09:33.9700000
AW00011102,1970-10-19,Female,2026-07-14 10:09:33.9700000
AW00011103,1981-04-12,Female,2026-07-14 10:09:33.9700000
AW00011104,1975-03-08,Male,2026-07-14 10:09:33.9700000
AW00011105,1970-06-27,Female,2026-07-14 10:09:33.9700000
AW00011106,1970-03-11,Male,2026-07-14 10:09:33.9700000
AW00011107,1976-03-04,Female,2026-07-14 10:09:33.9700000
AW00011108,1969-01-10,Female,2026-07-14 10:09:33.9700000
AW00011109,1980-04-30,Male,2026-07-14 10:09:33.9700000
AW00011110,1967-12-04,Male,2026-07-14 10:09:33.9700000
AW00011111,1967-08-23,Female,2026-07-14 10:09:33.9700000
AW00011112,1968-03-08,Female,2026-07-14 10:09:33.9700000
AW00011113,1973-02-17,Male,2026-07-14 10:09:33.9700000
AW00011114,1967-11-25,Female,2026-07-14 10:09:33.9700000
AW00011115,1967-08-12,Male,2026-07-14 10:09:33.9700000
AW00011116,1979-04-02,Male,2026-07-14 10:09:33.9700000
AW00011117,1966-08-21,Female,2026-07-14 10:09:33.9700000
AW00011118,1962-12-31,Male,2026-07-14 10:09:33.9700000
AW00011119,1940-10-07,Male,2026-07-14 10:09:33.9700000
AW00011120,1942-02-06,Female,2026-07-14 10:09:33.9700000
AW00011121,1966-05-18,Male,2026-07-14 10:09:33.9700000
AW00011122,1965-09-30,Male,2026-07-14 10:09:33.9700000
AW00011123,1965-12-18,Male,2026-07-14 10:09:33.9700000
AW00011124,1968-07-23,Male,2026-07-14 10:09:33.9700000
AW00011125,1961-10-06,Female,2026-07-14 10:09:33.9700000
AW00011126,1954-10-05,Male,2026-07-14 10:09:33.9700000
AW00011127,1981-04-19,Female,2026-07-14 10:09:33.9700000
AW00011128,1981-06-03,Female,2026-07-14 10:09:33.9700000
AW00011129,1981-02-01,Female,2026-07-14 10:09:33.9700000
AW00011130,1985-07-05,Female,2026-07-14 10:09:33.9700000
