CID,CNTRY,dwh_create_date
AW00011000,Australia,2026-07-13 12:24:57.9700000
AW00011001,Australia,2026-07-13 12:24:57.9700000
AW00011002,Australia,2026-07-13 12:24:57.9700000
AW00011003,Australia,2026-07-13 12:24:57.9700000
AW00011004,Australia,2026-07-13 12:24:57.9700000
AW00011005,Australia,2026-07-13 12:24:57.9700000
AW00011006,Australia,2026-07-13 12:24:57.9700000
AW00011007,Australia,2026-07-13 12:24:57.9700000
AW00011008,Australia,2026-07-13 12:24:57.9700000
AW00011009,Australia,2026-07-13 12:24:57.9700000
AW00011010,Australia,2026-07-13 12:24:57.9700000
AW00011011,Australia,2026-07-13 12:24:57.9700000
AW00011012,United States,2026-07-13 12:24:57.9700000
AW00011013,United States,2026-07-13 12:24:57.9700000
AW00011014,United States,2026-07-13 12:24:57.9700000
AW00011015,United States,2026-07-13 12:24:57.9700000
AW00011016,United States,2026-07-13 12:24:57.9700000
AW00011017,Australia,2026-07-13 12:24:57.9700000
AW00011018,Australia,2026-07-13 12:24:57.9700000
AW00011019,Canada,2026-07-13 12:24:57.9700000
AW00011020,Canada,2026-07-13 12:24:57.9700000
AW00011021,United States,2026-07-13 12:24:57.9700000
AW00011022,United States,2026-07-13 12:24:57.9700000
AW00011023,United States,2026-07-13 12:24:57.9700000
AW00011024,United States,2026-07-13 12:24:57.9700000
AW00011025,Australia,2026-07-13 12:24:57.9700000
AW00011026,Australia,2026-07-13 12:24:57.9700000
AW00011027,Australia,2026-07-13 12:24:57.9700000
AW00011028,Australia,2026-07-13 12:24:57.9700000
AW00011029,Australia,2026-07-13 12:24:57.9700000
AW00011030,Australia,2026-07-13 12:24:57.9700000
AW00011031,Australia,2026-07-13 12:24:57.9700000
AW00011032,Australia,2026-07-13 12:24:57.9700000
AW00011033,Australia,2026-07-13 12:24:57.9700000
AW00011034,Australia,2026-07-13 12:24:57.9700000
AW00011035,Australia,2026-07-13 12:24:57.9700000
AW00011036,United States,2026-07-13 12:24:57.9700000
AW00011037,Canada,2026-07-13 12:24:57.9700000
AW00011038,Australia,2026-07-13 12:24:57.9700000
AW00011039,Australia,2026-07-13 12:24:57.9700000
AW00011040,United States,2026-07-13 12:24:57.9700000
AW00011041,United States,2026-07-13 12:24:57.9700000
AW00011042,United States,2026-07-13 12:24:57.9700000
AW00011043,United States,2026-07-13 12:24:57.9700000
AW00011044,Australia,2026-07-13 12:24:57.9700000
AW00011045,Australia,2026-07-13 12:24:57.9700000
AW00011046,Australia,2026-07-13 12:24:57.9700000
AW00011047,Australia,2026-07-13 12:24:57.9700000
AW00011048,Australia,2026-07-13 12:24:57.9700000
AW00011049,United States,2026-07-13 12:24:57.9700000
AW00011050,Australia,2026-07-13 12:24:57.9700000
AW00011051,Australia,2026-07-13 12:24:57.9700000
AW00011052,Australia,2026-07-13 12:24:57.9700000
AW00011053,United States,2026-07-13 12:24:57.9700000
AW00011054,Australia,2026-07-13 12:24:57.9700000
AW00011055,Australia,2026-07-13 12:24:57.9700000
AW00011056,Australia,2026-07-13 12:24:57.9700000
AW00011057,Australia,2026-07-13 12:24:57.9700000
AW00011058,Australia,2026-07-13 12:24:57.9700000
AW00011059,Australia,2026-07-13 12:24:57.9700000
AW00011060,Australia,2026-07-13 12:24:57.9700000
AW00011061,Australia,2026-07-13 12:24:57.9700000
AW00011062,United States,2026-07-13 12:24:57.9700000
AW00011063,United States,2026-07-13 12:24:57.9700000
AW00011064,United States,2026-07-13 12:24:57.9700000
AW00011065,United States,2026-07-13 12:24:57.9700000
AW00011066,United States,2026-07-13 12:24:57.9700000
AW00011067,United States,2026-07-13 12:24:57.9700000
AW00011068,Australia,2026-07-13 12:24:57.9700000
AW00011069,Australia,2026-07-13 12:24:57.9700000
AW00011070,Australia,2026-07-13 12:24:57.9700000
AW00011071,Australia,2026-07-13 12:24:57.9700000
AW00011072,Australia,2026-07-13 12:24:57.9700000
AW00011073,Australia,2026-07-13 12:24:57.9700000
AW00011074,Australia,2026-07-13 12:24:57.9700000
AW00011075,Australia,2026-07-13 12:24:57.9700000
AW00011076,Australia,2026-07-13 12:24:57.9700000
AW00011077,Australia,2026-07-13 12:24:57.9700000
AW00011078,Canada,2026-07-13 12:24:57.9700000
AW00011079,Australia,2026-07-13 12:24:57.9700000
AW00011080,Australia,2026-07-13 12:24:57.9700000
AW00011081,United States,2026-07-13 12:24:57.9700000
AW00011082,United States,2026-07-13 12:24:57.9700000
AW00011083,United States,2026-07-13 12:24:57.9700000
AW00011084,United States,2026-07-13 12:24:57.9700000
AW00011085,United States,2026-07-13 12:24:57.9700000
AW00011086,United States,2026-07-13 12:24:57.9700000
AW00011087,United States,2026-07-13 12:24:57.9700000
AW00011088,United States,2026-07-13 12:24:57.9700000
AW00011089,United States,2026-07-13 12:24:57.9700000
AW00011090,United States,2026-07-13 12:24:57.9700000
AW00011091,Canada,2026-07-13 12:24:57.9700000
AW00011092,Australia,2026-07-13 12:24:57.9700000
AW00011093,Australia,2026-07-13 12:24:57.9700000
AW00011094,Australia,2026-07-13 12:24:57.9700000
AW00011095,Australia,2026-07-13 12:24:57.9700000
AW00011096,Australia,2026-07-13 12:24:57.9700000
AW00011097,Australia,2026-07-13 12:24:57.9700000
AW00011098,Australia,2026-07-13 12:24:57.9700000
AW00011099,Australia,2026-07-13 12:24:57.9700000
AW00011100,Australia,2026-07-13 12:24:57.9700000
AW00011101,Australia,2026-07-13 12:24:57.9700000
AW00011102,Australia,2026-07-13 12:24:57.9700000
AW00011103,Australia,2026-07-13 12:24:57.9700000
AW00011104,Australia,2026-07-13 12:24:57.9700000
AW00011105,Australia,2026-07-13 12:24:57.9700000
AW00011106,Australia,2026-07-13 12:24:57.9700000
AW00011107,Australia,2026-07-13 12:24:57.9700000
AW00011108,Australia,2026-07-13 12:24:57.9700000
AW00011109,Australia,2026-07-13 12:24:57.9700000
AW00011110,Australia,2026-07-13 12:24:57.9700000
AW00011111,Australia,2026-07-13 12:24:57.9700000
AW00011112,Australia,2026-07-13 12:24:57.9700000
AW00011113,Australia,2026-07-13 12:24:57.9700000
AW00011114,Australia,2026-07-13 12:24:57.9700000
AW00011115,Australia,2026-07-13 12:24:57.9700000
AW00011116,Australia,2026-07-13 12:24:57.9700000
AW00011117,Australia,2026-07-13 12:24:57.9700000
AW00011118,Australia,2026-07-13 12:24:57.9700000
AW00011119,Australia,2026-07-13 12:24:57.9700000
AW00011120,Australia,2026-07-13 12:24:57.9700000
AW00011121,Australia,2026-07-13 12:24:57.9700000
AW00011122,Australia,2026-07-13 12:24:57.9700000
AW00011123,Australia,2026-07-13 12:24:57.9700000
AW00011124,Australia,2026-07-13 12:24:57.9700000
AW00011125,Australia,2026-07-13 12:24:57.9700000
AW00011126,Australia,2026-07-13 12:24:57.9700000
AW00011127,United States,2026-07-13 12:24:57.9700000
AW00011128,United States,2026-07-13 12:24:57.9700000
AW00011129,United States,2026-07-13 12:24:57.9700000
AW00011130,United States,2026-07-13 12:24:57.9700000
AW00011131,Canada,2026-07-13 12:24:57.9700000
AW00011132,Canada,2026-07-13 12:24:57.9700000
AW00011133,United States,2026-07-13 12:24:57.9700000
AW00011134,Australia,2026-07-13 12:24:57.9700000
AW00011135,United States,2026-07-13 12:24:57.9700000
AW00011136,Canada,2026-07-13 12:24:57.9700000
AW00011137,United States,2026-07-13 12:24:57.9700000
